subwayId,statnNm,arvlMsg2,arvlMsg3,arvlCd,barvlDt,bstatnNm,updnLine,lstcarAt,status,code,message,statnId,updnLine_realtime,status_realtime,code_realtime,message_realtime
1호선,동묘앞,[3]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000127,0,200,INFO-000,정상 처리되었습니다.
1호선,성환,[3]번째 전역 (천안),천안,운행중,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080166,0,200,INFO-000,정상 처리되었습니다.
1호선,성균관대,[2]번째 전역 (수원),수원,운행중,0,청량리 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001080153,0,200,INFO-000,정상 처리되었습니다.
1호선,군포,[3]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080150,1,200,INFO-000,정상 처리되었습니다.
1호선,신설동,[2]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000126,1,200,INFO-000,정상 처리되었습니다.
1호선,병점,[3]번째 전역 (오산),오산,운행중,0,병점,상행,0,200,INFO-000,정상 처리되었습니다.,1001080157,1,200,INFO-000,정상 처리되었습니다.
1호선,동묘앞,3분 6초 후 (제기동),제기동,운행중,186,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000127,0,200,INFO-000,정상 처리되었습니다.
1호선,소요산,[3]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000100,1,200,INFO-000,정상 처리되었습니다.
1호선,금정,[2]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080149,0,200,INFO-000,정상 처리되었습니다.
1호선,성환,[2]번째 전역 (지제),지제,운행중,0,천안,하행,0,200,INFO-000,정상 처리되었습니다.,1001080166,0,200,INFO-000,정상 처리되었습니다.
1호선,신길,[2]번째 전역 (노량진),노량진,운행중,0,동인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000138,0,200,INFO-000,정상 처리되었습니다.
1호선,청량리,[2]번째 전역 (외대앞),외대앞,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001000124,1,200,INFO-000,정상 처리되었습니다.
1호선,가산디지털단지,[2]번째 전역 (신도림),신도림,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080142,0,200,INFO-000,정상 처리되었습니다.
1호선,수원,[2]번째 전역 (성균관대),성균관대,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080155,0,200,INFO-000,정상 처리되었습니다.
1호선,천안,[2]번째 전역 (직산),직산,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080169,1,200,INFO-000,정상 처리되었습니다.
1호선,대방,[2]번째 전역 (용산),용산,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000137,0,200,INFO-000,정상 처리되었습니다.
1호선,도화,[3]번째 전역 (동인천),동인천,운행중,0,용산 (특급),상행,0,200,INFO-000,정상 처리되었습니다.,1001000157,0,200,INFO-000,정상 처리되었습니다.
1호선,백운,[3]번째 전역 (주안),주안,운행중,0,용산 (특급),상행,0,200,INFO-000,정상 처리되었습니다.,1001000153,1,200,INFO-000,정상 처리되었습니다.
1호선,석계,[3]번째 전역 (회기),회기,운행중,0,양주,상행,0,200,INFO-000,정상 처리되었습니다.,1001000120,1,200,INFO-000,정상 처리되었습니다.
1호선,평택,[4]번째 전역 (천안),천안,운행중,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080165,1,200,INFO-000,정상 처리되었습니다.
1호선,군포,[4]번째 전역 (화서),화서,운행중,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080150,1,200,INFO-000,정상 처리되었습니다.
1호선,탕정,[3]번째 전역 (신창),신창,운행중,0,청량리,상행,0,200,INFO-000,정상 처리되었습니다.,1001080173,1,200,INFO-000,정상 처리되었습니다.
1호선,동대문,5분 6초 후 (종각),종각,운행중,306,청량리,상행,0,200,INFO-000,정상 처리되었습니다.,1001000128,1,200,INFO-000,정상 처리되었습니다.
1호선,천안,천안 진입,천안,진입,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080169,1,200,INFO-000,정상 처리되었습니다.
1호선,세류,[4]번째 전역 (오산),오산,운행중,0,병점,상행,0,200,INFO-000,정상 처리되었습니다.,1001080156,1,200,INFO-000,정상 처리되었습니다.
1호선,서울,[4]번째 전역 (대방),대방,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000133,1,200,INFO-000,정상 처리되었습니다.
1호선,병점,병점 진입,병점,진입,0,천안,하행,0,200,INFO-000,정상 처리되었습니다.,1001080157,1,200,INFO-000,정상 처리되었습니다.
1호선,동두천중앙,동두천중앙 진입,동두천중앙,진입,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000103,1,200,INFO-000,정상 처리되었습니다.
1호선,부개,부개 도착,부개,도착,0,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000151,1,200,INFO-000,정상 처리되었습니다.
1호선,온수,온수 도착,온수,도착,0,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000145,0,200,INFO-000,정상 처리되었습니다.
1호선,구일,구일 진입,구일,진입,0,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000142,0,200,INFO-000,정상 처리되었습니다.
1호선,종각,종각 진입,종각,진입,10,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000131,1,200,INFO-000,정상 처리되었습니다.
1호선,진위,[5]번째 전역 (성환),성환,운행중,0,구로 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001080161,1,200,INFO-000,정상 처리되었습니다.
1호선,도화,[4]번째 전역 (인천),인천,운행중,0,양주,상행,0,200,INFO-000,정상 처리되었습니다.,1001000157,0,200,INFO-000,정상 처리되었습니다.
1호선,송내,[6]번째 전역 (주안),주안,운행중,0,용산 (특급),상행,0,200,INFO-000,정상 처리되었습니다.,1001000150,0,200,INFO-000,정상 처리되었습니다.
1호선,종각,[6]번째 전역 (대방),대방,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000131,1,200,INFO-000,정상 처리되었습니다.
1호선,오산,[6]번째 전역 (성환),성환,운행중,0,구로 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001080160,0,200,INFO-000,정상 처리되었습니다.
1호선,군포,[5]번째 전역 (수원),수원,운행중,0,청량리 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001080150,1,200,INFO-000,정상 처리되었습니다.
1호선,주안,[5]번째 전역 (인천),인천,운행중,0,양주,상행,0,200,INFO-000,정상 처리되었습니다.,1001000156,1,200,INFO-000,정상 처리되었습니다.
1호선,수원,[5]번째 전역 (오산),오산,운행중,0,병점,상행,0,200,INFO-000,정상 처리되었습니다.,1001080155,0,200,INFO-000,정상 처리되었습니다.
1호선,백운,[5]번째 전역 (제물포),제물포,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000153,1,200,INFO-000,정상 처리되었습니다.
1호선,시청,[5]번째 전역 (대방),대방,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000132,0,200,INFO-000,정상 처리되었습니다.
1호선,안양,안양 도착,안양,도착,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080147,1,200,INFO-000,정상 처리되었습니다.
1호선,신도림,신도림 진입,신도림,진입,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001000140,1,200,INFO-000,정상 처리되었습니다.
1호선,직산,직산 도착,직산,도착,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080167,1,200,INFO-000,정상 처리되었습니다.
